Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,290.97,1295.21,92.747,218.177,1243.706,63.229,228.477,1287.907,57.49,223.291,1263.361,75.704,347.454,1262.613,52.245
0.005,290.97,1295.21,92.747,218.177,1243.706,63.229,228.477,1287.907,57.49,223.291,1263.361,75.704,347.454,1262.613,52.245
0.01,291.192,1295.221,92.498,218.052,1243.737,63.261,228.658,1287.915,57.346,223.357,1263.405,75.605,347.851,1262.413,52.962
0.015,291.258,1295.256,92.87,218.272,1243.717,63.139,228.395,1287.877,57.62,223.393,1263.453,75.577,347.79,1262.505,52.741
0.02,291.185,1295.296,92.512,218.193,1243.702,63.161,228.553,1287.902,57.455,223.351,1263.417,75.601,347.498,1262.54,52.29
0.025,291.096,1295.277,93.047,218.365,1243.779,62.931,228.45,1287.884,57.546,223.337,1263.41,75.653,347.608,1262.567,52.444
0.03,291.02,1295.23,92.898,218.133,1243.731,63.238,228.385,1287.875,57.576,223.383,1263.441,75.536,347.806,1262.5,52.807
0.035,291.172,1295.266,92.75,218.283,1243.757,63.037,228.421,1287.941,57.54,223.376,1263.442,75.576,347.857,1262.447,52.85
0.04,291.255,1295.297,92.763,218.041,1243.665,63.235,228.247,1287.878,57.685,223.399,1263.474,75.487,347.71,1262.535,52.571
0.045,290.873,1295.234,93.01,218.024,1243.707,63.214,228.466,1287.923,57.48,223.132,1263.417,75.783,347.467,1262.578,52.406
0.05,291.201,1295.202,93.048,218.198,1243.748,63.071,228.556,1287.936,57.418,223.403,1263.452,75.566,347.785,1262.565,52.957
0.055,291.195,1295.32,92.595,218.107,1243.753,63.107,228.499,1287.919,57.408,223.196,1263.408,75.738,347.724,1262.548,52.721
0.06,290.844,1295.29,92.793,218.121,1243.753,63.058,228.388,1287.944,57.565,223.32,1263.475,75.649,347.788,1262.453,52.924
0.065,291.113,1295.293,92.856,218.122,1243.796,63.127,228.404,1287.916,57.525,223.305,1263.446,75.649,347.644,1262.608,52.742
0.07,291,1295.28,92.934,217.95,1243.807,63.355,228.279,1287.907,57.706,223.328,1263.458,75.671,347.817,1262.54,52.939
0.075,291.295,1295.276,93.083,217.921,1243.779,63.521,228.465,1287.962,57.549,223.426,1263.485,75.568,347.72,1262.506,52.798
0.08,291.145,1295.282,92.763,218.251,1243.807,63.118,228.483,1287.969,57.584,223.277,1263.463,75.746,347.328,1262.681,52.367
