Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,258.153,1298.423,78.762,187.834,1246.527,59.466,196.511,1289.107,39.389,191.713,1263.762,59.663,321.627,1264.191,37.058
0.005,258.153,1298.423,78.762,187.834,1246.527,59.466,196.511,1289.107,39.389,191.713,1263.762,59.663,321.627,1264.191,37.058
0.01,257.752,1298.481,78.614,187.903,1246.521,59.433,196.474,1289.077,39.341,191.515,1263.731,59.865,321.52,1264.155,36.985
0.015,258.044,1298.426,78.928,187.774,1246.491,59.524,196.558,1289.095,39.299,191.697,1263.728,59.699,321.778,1264.099,37.269
0.02,257.647,1298.451,78.527,187.664,1246.475,59.674,196.792,1289.155,39.007,191.767,1263.781,59.591,321.496,1264.191,36.834
0.025,257.979,1298.49,78.723,187.794,1246.475,59.579,196.484,1289.176,39.358,191.724,1263.773,59.633,321.747,1264.21,37.195
0.03,257.936,1298.467,78.822,187.844,1246.462,59.477,196.431,1289.099,39.492,191.655,1263.755,59.773,321.482,1264.164,36.98
0.035,257.83,1298.513,78.592,187.652,1246.51,59.58,196.692,1289.179,39.18,191.675,1263.758,59.737,321.854,1264.101,37.211
0.04,258.089,1298.551,78.639,187.704,1246.505,59.6,196.447,1289.1,39.387,191.793,1263.798,59.552,321.69,1264.136,37.269
0.045,258.072,1298.436,79.216,187.68,1246.469,59.689,196.282,1289.12,39.645,191.799,1263.812,59.626,321.622,1264.193,37.182
0.05,258.023,1298.432,78.893,187.691,1246.5,59.557,196.587,1289.135,39.277,191.859,1263.831,59.496,321.458,1264.206,36.773
0.055,257.917,1298.597,78.346,187.94,1246.593,59.312,196.434,1289.146,39.399,191.661,1263.787,59.743,321.694,1264.185,37.091
0.06,257.94,1298.5,78.687,187.547,1246.477,59.744,196.405,1289.13,39.483,191.728,1263.818,59.659,321.52,1264.254,36.977
0.065,258.057,1298.56,78.5,187.82,1246.552,59.479,196.415,1289.145,39.466,191.748,1263.821,59.633,321.634,1264.181,36.959
0.07,257.924,1298.428,79.193,187.706,1246.539,59.576,196.434,1289.128,39.393,191.702,1263.809,59.676,321.323,1264.224,36.773
0.075,257.958,1298.505,78.902,187.955,1246.56,59.256,196.288,1289.092,39.517,191.777,1263.826,59.576,321.537,1264.202,36.979
0.08,258.022,1298.397,79.27,187.63,1246.537,59.591,196.523,1289.177,39.371,191.842,1263.864,59.503,321.504,1264.193,36.853
0.085,257.772,1298.544,78.642,187.854,1246.544,59.367,196.645,1289.177,39.286,191.775,1263.834,59.595,321.974,1264.134,37.565
0.09,258.125,1298.512,78.85,187.859,1246.565,59.488,196.61,1289.194,39.304,191.743,1263.859,59.649,321.974,1264.179,37.519
0.095,258.06,1298.505,78.886,187.912,1246.591,59.363,196.568,1289.198,39.304,191.738,1263.84,59.652,321.711,1264.189,37.425
0.1,257.824,1298.558,78.909,187.416,1246.482,59.827,196.702,1289.206,39.208,191.754,1263.851,59.665,321.686,1264.228,37.266
0.105,258.223,1298.553,78.594,187.651,1246.556,59.621,196.547,1289.152,39.35,191.684,1263.835,59.685,321.445,1264.309,36.835
0.11,258.079,1298.524,78.771,187.798,1246.572,59.604,196.597,1289.227,39.384,191.666,1263.828,59.743,321.759,1264.209,37.208
0.115,257.861,1298.628,78.639,187.828,1246.55,59.557,196.582,1289.217,39.313,191.807,1263.864,59.546,321.607,1264.279,37.119
0.12,258.099,1298.582,78.591,187.646,1246.567,59.564,196.52,1289.202,39.34,191.909,1263.877,59.465,321.383,1264.293,36.801
0.125,257.986,1298.484,79.176,187.706,1246.576,59.662,196.448,1289.2,39.469,191.822,1263.875,59.574,321.726,1264.266,37.23
0.13,257.986,1298.557,78.827,187.875,1246.582,59.414,196.585,1289.225,39.246,191.63,1263.835,59.767,321.515,1264.195,37.136
0.135,258.002,1298.569,78.847,187.51,1246.52,59.715,196.5,1289.192,39.399,191.742,1263.888,59.642,321.615,1264.207,37.2
0.14,257.948,1298.594,78.839,187.435,1246.549,59.826,196.892,1289.263,38.938,191.614,1263.842,59.771,321.627,1264.294,36.98
0.145,258.014,1298.551,78.785,187.688,1246.596,59.574,196.498,1289.227,39.476,191.777,1263.902,59.564,321.695,1264.278,37.355
0.15,257.796,1298.478,79.173,187.656,1246.604,59.698,196.601,1289.216,39.293,191.692,1263.885,59.684,321.482,1264.343,36.986
0.155,257.969,1298.612,78.823,187.57,1246.56,59.807,196.453,1289.251,39.483,191.804,1263.922,59.646,321.652,1264.325,37.065
0.16,257.931,1298.672,78.339,187.592,1246.593,59.751,196.225,1289.191,39.739,191.702,1263.882,59.701,321.659,1264.271,37.114
0.165,258.116,1298.58,78.83,187.752,1246.688,59.514,196.581,1289.246,39.345,191.689,1263.888,59.705,321.779,1264.237,37.357
0.17,258.314,1298.567,78.906,187.653,1246.647,59.726,196.429,1289.226,39.452,191.793,1263.922,59.599,321.596,1264.308,37.193
0.175,258.028,1298.539,79.108,187.687,1246.653,59.678,196.694,1289.279,39.321,191.697,1263.903,59.725,321.473,1264.312,37.074
0.18,257.669,1298.582,78.757,187.746,1246.643,59.576,196.596,1289.269,39.353,191.706,1263.919,59.699,321.567,1264.338,37.031
0.185,258.059,1298.574,79.152,187.731,1246.635,59.606,196.396,1289.256,39.479,191.691,1263.945,59.72,321.668,1264.287,37.243
0.19,258.047,1298.615,78.881,187.929,1246.667,59.327,196.506,1289.258,39.361,191.87,1263.949,59.512,321.485,1264.301,37.191
0.195,257.97,1298.618,78.926,187.693,1246.654,59.521,196.537,1289.267,39.339,191.632,1263.905,59.712,322.005,1264.261,37.678
0.2,258.252,1298.632,78.99,187.66,1246.605,59.635,196.443,1289.217,39.555,191.767,1263.961,59.612,321.958,1264.292,37.66
0.205,258.204,1298.586,78.859,187.794,1246.626,59.53,196.304,1289.261,39.7,191.841,1263.953,59.578,321.86,1264.279,37.6
0.21,257.748,1298.556,79.071,187.765,1246.668,59.608,196.331,1289.246,39.578,191.546,1263.909,59.857,321.518,1264.357,37.107
0.215,257.766,1298.619,78.838,187.864,1246.73,59.412,196.589,1289.272,39.318,191.55,1263.905,59.834,321.564,1264.459,37.189
0.22,258.108,1298.66,78.688,187.839,1246.708,59.517,196.257,1289.243,39.659,191.802,1263.973,59.617,321.499,1264.396,36.952
0.225,257.839,1298.656,78.921,187.806,1246.666,59.446,196.5,1289.318,39.381,191.837,1263.997,59.48,321.721,1264.303,37.31
0.23,258.245,1298.659,78.703,187.654,1246.699,59.661,196.256,1289.237,39.766,191.669,1263.938,59.717,321.774,1264.326,37.445
0.235,258.1,1298.598,79.175,187.631,1246.682,59.707,196.347,1289.275,39.631,191.699,1263.962,59.716,322.067,1264.208,37.845
0.24,258.023,1298.678,78.603,187.693,1246.666,59.533,196.537,1289.333,39.361,191.762,1263.984,59.654,321.502,1264.399,37.106
0.245,257.99,1298.675,78.595,187.724,1246.746,59.495,196.385,1289.328,39.451,191.663,1263.961,59.747,321.494,1264.386,37.086
0.25,258.116,1298.634,78.912,187.765,1246.677,59.575,196.242,1289.288,39.591,191.896,1264,59.496,321.56,1264.309,37.163
0.255,257.72,1298.653,78.867,187.815,1246.743,59.471,196.577,1289.367,39.288,191.629,1263.959,59.793,321.979,1264.185,37.872
0.26,258.081,1298.645,79.02,187.774,1246.754,59.544,196.526,1289.331,39.441,191.713,1263.974,59.727,321.486,1264.385,37.112
0.265,258.156,1298.584,79.241,187.731,1246.729,59.566,196.606,1289.35,39.252,191.846,1264.014,59.503,321.5,1264.353,37.101
0.27,258.09,1298.667,78.915,187.924,1246.723,59.342,196.253,1289.318,39.636,191.787,1263.967,59.585,321.578,1264.404,37.138
