Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,257.908,1300.865,67.034,189.578,1257.267,48.212,192.969,1290.588,23.969,188.715,1273.392,34.844,307.707,1273.963,42.497
0.005,257.908,1300.865,67.034,189.578,1257.267,48.212,192.969,1290.588,23.969,188.715,1273.392,34.844,307.707,1273.963,42.497
0.01,257.887,1300.807,67.029,189.307,1257.261,48.405,192.95,1290.589,24.02,188.698,1273.399,34.852,307.835,1273.961,42.721
0.015,257.748,1300.839,67.042,189.41,1257.236,48.296,192.889,1290.621,24.006,188.725,1273.419,34.91,308.345,1273.853,43.312
0.02,257.741,1300.858,67.036,189.449,1257.278,48.26,192.923,1290.593,24.009,188.812,1273.449,34.769,307.94,1273.938,42.749
0.025,257.872,1300.793,67.389,189.357,1257.212,48.364,193.183,1290.676,23.756,188.989,1273.494,34.567,307.836,1274.015,42.569
0.03,257.761,1300.884,66.929,189.332,1257.187,48.422,192.672,1290.556,24.254,188.772,1273.424,34.816,308.303,1273.912,43.217
0.035,257.651,1300.842,67.111,188.994,1257.186,48.673,192.96,1290.618,23.882,188.462,1273.363,35.095,307.876,1273.995,42.598
0.04,258.064,1300.797,67.281,189.245,1257.158,48.426,193.041,1290.622,23.936,188.861,1273.42,34.723,308.015,1273.995,42.796
0.045,257.85,1300.91,67.165,189.265,1257.22,48.477,192.982,1290.62,23.911,188.764,1273.458,34.762,308.163,1273.902,43.027
0.05,257.704,1300.856,67.23,189.429,1257.253,48.245,193.095,1290.621,23.836,188.647,1273.413,34.858,307.881,1273.991,42.661
0.055,257.699,1300.802,67.267,189.145,1257.212,48.515,193.095,1290.67,23.808,188.807,1273.446,34.708,307.773,1274.009,42.62
0.06,257.59,1300.885,66.822,189.322,1257.262,48.344,192.822,1290.581,24.112,188.752,1273.443,34.816,308.039,1273.992,42.975
0.065,257.497,1300.887,66.935,189.222,1257.279,48.429,192.882,1290.633,24.084,188.72,1273.412,34.857,307.954,1273.981,42.738
0.07,257.568,1300.74,67.519,189.256,1257.236,48.42,192.893,1290.674,23.965,188.679,1273.482,34.828,308.075,1273.971,42.981
0.075,257.868,1300.871,66.798,189.043,1257.203,48.598,192.616,1290.552,24.248,188.912,1273.514,34.668,308.002,1273.93,42.916
0.08,257.981,1300.886,66.876,188.96,1257.231,48.589,192.855,1290.646,24.005,188.577,1273.477,34.877,307.968,1274.021,42.839
0.085,257.847,1300.852,67.315,188.989,1257.196,48.578,192.911,1290.682,23.981,188.582,1273.411,34.934,308.233,1273.894,43.27
0.09,257.601,1301.027,66.462,189.328,1257.254,48.293,193.136,1290.695,23.803,188.465,1273.432,34.998,308.082,1273.999,42.96
0.095,257.629,1300.962,66.855,189.189,1257.211,48.411,192.792,1290.646,24.03,188.592,1273.433,34.874,308.277,1273.96,43.152
0.1,257.743,1300.828,67.084,189.621,1257.294,48.06,192.936,1290.667,23.971,188.67,1273.463,34.888,308.182,1273.881,43.052
0.105,257.856,1300.897,66.951,188.906,1257.226,48.695,192.972,1290.658,23.938,188.617,1273.387,34.891,308.145,1273.916,43.157
0.11,257.58,1300.867,67.043,189.191,1257.237,48.422,192.735,1290.623,24.13,188.745,1273.504,34.713,308.066,1273.975,43.036
0.115,257.803,1300.786,67.24,189.442,1257.304,48.299,193.097,1290.698,23.851,188.506,1273.463,34.967,308.152,1273.915,43.169
0.12,257.395,1300.857,66.853,189.417,1257.257,48.283,193.297,1290.757,23.701,188.891,1273.501,34.68,307.931,1273.989,42.77
0.125,257.797,1300.838,67.022,189.386,1257.281,48.315,193.067,1290.683,23.925,188.62,1273.409,34.896,307.953,1273.997,42.818
0.13,257.788,1300.819,67.082,188.997,1257.224,48.653,192.924,1290.65,24.051,188.869,1273.503,34.756,308.057,1273.901,43.053
0.135,257.69,1300.944,66.808,189.164,1257.203,48.552,192.967,1290.678,23.993,188.224,1273.356,35.336,307.721,1273.987,42.638
0.14,257.374,1300.765,67.354,189.167,1257.237,48.555,192.846,1290.629,24.15,188.484,1273.377,35.099,307.813,1274.04,42.669
0.145,257.766,1300.894,66.969,189.383,1257.24,48.426,192.865,1290.613,24.123,188.675,1273.454,34.887,308.128,1273.967,42.954
0.15,257.699,1300.871,66.831,189.272,1257.229,48.453,193.081,1290.651,23.935,188.829,1273.427,34.803,307.843,1274.007,42.61
0.155,257.923,1300.788,67.502,188.951,1257.193,48.806,192.777,1290.615,24.254,188.618,1273.448,34.946,307.652,1273.997,42.482
