Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,281.016,1277.918,73.708,215.16,1234.347,47.265,226.892,1271.406,42.999,222.719,1254.108,57.002,342.642,1257.483,34.019
0.005,281.016,1277.918,73.708,215.16,1234.347,47.265,226.892,1271.406,42.999,222.719,1254.108,57.002,342.642,1257.483,34.019
0.01,280.867,1278.04,73.127,215.207,1234.356,47.289,226.925,1271.426,42.986,222.785,1254.119,56.943,342.591,1257.48,34.009
0.015,280.831,1278.042,73.203,215.066,1234.307,47.339,226.729,1271.347,43.244,222.888,1254.078,56.912,342.192,1257.623,33.429
0.02,281.426,1277.945,73.723,215.103,1234.334,47.405,226.887,1271.406,43.102,222.526,1254.05,57.236,342.194,1257.638,33.529
0.025,281.008,1278.011,73.479,214.95,1234.277,47.507,226.851,1271.377,43.04,222.666,1254.068,57.095,342.502,1257.461,34.135
0.03,280.708,1277.984,73.166,215.197,1234.329,47.323,226.849,1271.386,43.131,222.699,1254.082,57.037,341.89,1257.689,33.203
0.035,280.957,1278.017,73.524,215.218,1234.34,47.319,227.136,1271.447,42.861,222.618,1254.041,57.069,341.951,1257.722,33.291
0.04,281.114,1278.014,73.56,215.51,1234.357,47.094,226.772,1271.355,43.251,222.965,1254.099,56.919,342.407,1257.493,33.737
0.045,280.77,1278.098,73.111,215.116,1234.346,47.445,226.977,1271.413,43.056,222.877,1254.076,57.03,342.579,1257.479,34.016
0.05,281.055,1278.02,73.122,215.043,1234.32,47.488,226.941,1271.395,43.084,222.743,1254.054,57.018,342.467,1257.609,33.842
0.055,280.955,1278.052,73.191,215.107,1234.294,47.427,226.871,1271.4,43.087,222.818,1254.113,56.932,342.945,1257.49,34.665
0.06,280.904,1278.044,73.013,215.336,1234.365,47.256,226.916,1271.403,43.094,222.908,1254.135,56.881,342.513,1257.648,34.173
0.065,280.752,1278.001,73.328,215.093,1234.341,47.419,226.706,1271.363,43.233,222.532,1254.061,57.25,342.309,1257.74,33.791
0.07,280.835,1277.991,73.48,215.103,1234.37,47.422,226.732,1271.397,43.239,223.087,1254.158,56.729,342.648,1257.516,34.135
0.075,281.112,1278.058,73.325,215.362,1234.419,47.107,226.913,1271.45,43.059,222.954,1254.14,56.854,342.701,1257.509,34.26
0.08,280.923,1278.1,73.081,215.001,1234.35,47.469,226.931,1271.455,43.037,222.854,1254.151,56.961,343.136,1257.549,34.854
0.085,281.111,1278.124,73.299,215.158,1234.407,47.267,226.757,1271.412,43.18,222.791,1254.161,56.964,342.817,1257.596,34.511
0.09,281.299,1277.975,73.68,215.038,1234.403,47.405,226.77,1271.466,43.116,223.012,1254.237,56.82,342.998,1257.633,34.836
0.095,280.95,1278.127,73.12,215.024,1234.419,47.412,226.738,1271.437,43.167,222.56,1254.156,57.135,342.931,1257.597,34.675
0.1,280.88,1278.018,73.382,215.317,1234.451,47.12,226.52,1271.423,43.331,222.719,1254.158,56.971,342.512,1257.713,34.041
0.105,280.925,1278.027,73.706,215.138,1234.412,47.35,226.994,1271.501,42.927,222.757,1254.182,56.98,343.425,1257.483,35.201
0.11,280.96,1278.102,73.123,215.229,1234.433,47.259,226.979,1271.505,42.962,223.187,1254.222,56.657,342.978,1257.556,34.622
0.115,280.5,1278.157,72.89,215.089,1234.412,47.43,226.943,1271.5,43.008,222.957,1254.234,56.888,342.829,1257.579,34.641
0.12,280.785,1278.143,73.405,215.112,1234.445,47.38,226.842,1271.488,43.147,222.51,1254.092,57.317,342.838,1257.604,34.549
0.125,280.967,1278.111,73.169,215.247,1234.443,47.32,226.753,1271.475,43.263,222.7,1254.108,57.133,342.891,1257.62,34.717
0.13,280.704,1278.145,73.188,215.151,1234.441,47.366,226.744,1271.468,43.227,222.611,1254.137,57.189,342.776,1257.687,34.394
0.135,280.754,1278.015,73.565,214.964,1234.36,47.567,226.81,1271.504,43.165,222.729,1254.142,57.102,342.812,1257.617,34.627
