Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,258.733,1299.357,74.697,190.384,1247.929,48.156,196.711,1287.551,28.662,196.602,1272.851,45.07,309.012,1268.509,53.579
0.005,258.733,1299.357,74.697,190.384,1247.929,48.156,196.711,1287.551,28.662,196.602,1272.851,45.07,309.012,1268.509,53.579
0.01,258.821,1299.373,75.136,190.123,1247.912,48.558,196.725,1287.612,28.668,196.534,1272.88,45.161,309.027,1268.416,53.599
0.015,258.99,1299.299,75.18,190.369,1247.921,48.214,196.914,1287.618,28.492,196.605,1272.818,45.173,308.563,1268.581,52.974
0.02,258.712,1299.286,74.963,190.125,1247.913,48.36,196.808,1287.606,28.613,196.615,1272.854,45.161,308.681,1268.533,53.146
0.025,258.688,1299.217,75.353,190.112,1247.995,48.518,196.448,1287.471,29.029,196.455,1272.83,45.319,309.041,1268.458,53.66
0.03,258.974,1299.27,75.421,190.552,1248.014,48.147,196.625,1287.522,28.814,196.663,1272.855,45.149,308.782,1268.541,53.51
0.035,258.523,1299.377,74.603,190.196,1247.989,48.42,196.516,1287.549,28.901,196.571,1272.911,45.117,308.785,1268.518,53.452
0.04,259.159,1299.281,75.341,190.206,1247.923,48.406,196.532,1287.53,28.899,196.605,1272.868,45.119,309.239,1268.447,54.058
0.045,258.738,1299.266,75.038,190.56,1248.034,47.996,196.76,1287.568,28.649,196.686,1272.878,44.994,309.311,1268.494,54.205
0.05,258.928,1299.446,74.552,190.012,1247.906,48.525,196.442,1287.538,29.024,196.48,1272.855,45.262,309.656,1268.413,54.664
0.055,258.91,1299.297,75.245,190.27,1247.978,48.366,196.703,1287.579,28.686,196.5,1272.855,45.243,309.368,1268.517,54.296
0.06,258.792,1299.275,75.333,190.55,1248.036,47.989,196.562,1287.513,28.904,196.811,1272.908,44.838,309.006,1268.521,53.976
0.065,259.198,1299.333,75.167,190.245,1247.906,48.368,196.54,1287.59,28.85,196.548,1272.842,45.2,309.358,1268.464,54.357
0.07,259.271,1299.131,75.779,190.392,1247.965,48.261,196.556,1287.53,28.894,196.729,1272.906,44.989,309.437,1268.494,54.415
0.075,258.54,1299.19,75.387,190.284,1247.949,48.557,196.566,1287.555,28.952,196.72,1272.904,45.062,309.276,1268.461,54.281
0.08,259.096,1299.253,75.17,190.048,1247.917,48.651,196.692,1287.577,28.795,196.639,1272.849,45.213,309.525,1268.488,54.593
0.085,258.949,1299.194,75.563,190.351,1247.886,48.389,196.858,1287.551,28.683,196.709,1272.862,45.079,309.211,1268.506,54.378
0.09,258.601,1299.216,75.526,190.126,1247.915,48.597,196.655,1287.601,28.917,196.514,1272.813,45.331,309.277,1268.48,54.316
0.095,259.102,1299.287,75.047,189.921,1247.847,48.809,196.533,1287.55,28.942,196.578,1272.818,45.326,309.707,1268.398,55.11
0.1,258.688,1299.281,75.109,190.222,1247.905,48.427,196.657,1287.559,28.818,196.782,1272.875,45.03,309.665,1268.445,55.018
0.105,258.856,1299.217,75.507,189.942,1247.845,48.749,196.264,1287.506,29.283,196.696,1272.894,45.066,309.936,1268.314,55.306
0.11,258.945,1299.177,75.483,190.209,1247.919,48.487,196.782,1287.608,28.649,196.641,1272.823,45.154,309.549,1268.492,54.973
0.115,258.974,1299.141,75.695,190.191,1247.911,48.456,196.615,1287.556,28.87,196.644,1272.855,45.107,309.458,1268.437,54.905
0.12,258.87,1299.182,75.505,190.188,1248.004,48.38,196.552,1287.542,28.951,196.533,1272.84,45.285,309.775,1268.33,55.247
0.125,259.216,1299.093,75.845,190.163,1247.922,48.626,196.699,1287.568,28.879,196.507,1272.8,45.344,309.579,1268.372,55.086
0.13,258.772,1299.294,75.372,190.365,1247.968,48.243,196.627,1287.557,28.922,196.497,1272.82,45.328,309.563,1268.352,54.962
0.135,259.107,1299.076,76.037,190.084,1247.896,48.592,196.611,1287.578,28.845,196.655,1272.918,45.102,309.904,1268.306,55.445
0.14,259.079,1299.202,75.516,190.37,1247.919,48.413,196.897,1287.604,28.674,196.893,1272.898,44.994,309.717,1268.304,55.514
0.145,258.8,1299.188,75.448,190.047,1247.864,48.704,196.619,1287.627,28.915,196.787,1272.888,45.092,309.956,1268.249,55.689
0.15,259.012,1299.114,75.958,189.97,1247.846,48.777,196.59,1287.603,28.939,196.54,1272.885,45.291,309.769,1268.282,55.503
0.155,258.785,1299.094,75.818,190.571,1248.038,48.105,196.565,1287.535,29.126,196.773,1272.869,45.138,309.834,1268.288,55.621
0.16,258.86,1299.249,75.565,190.153,1247.873,48.6,196.784,1287.638,28.743,196.703,1272.87,45.105,309.811,1268.238,55.607
0.165,258.986,1299.188,75.823,190.313,1247.94,48.336,196.605,1287.622,28.934,196.719,1272.931,45.072,309.735,1268.283,55.619
0.17,258.796,1299.286,75.427,190.255,1247.948,48.437,196.613,1287.609,28.869,196.747,1272.918,45.085,309.609,1268.34,55.474
0.175,258.653,1299.273,75.672,190.073,1247.881,48.671,196.532,1287.567,29.009,196.531,1272.853,45.344,309.51,1268.295,55.178
0.18,259.155,1299.138,76.003,190.414,1247.971,48.264,196.897,1287.655,28.572,196.748,1272.902,45.076,309.96,1268.234,55.976
0.185,258.601,1299.115,75.965,190.494,1247.995,48.169,196.694,1287.611,28.864,196.518,1272.846,45.303,309.807,1268.302,55.599
0.19,259.119,1299.227,75.735,190.181,1247.95,48.508,196.458,1287.563,29.074,196.487,1272.872,45.319,309.722,1268.248,55.626
0.195,259.156,1299.084,76.111,190.104,1247.849,48.729,196.613,1287.589,29.035,196.665,1272.864,45.317,309.37,1268.283,55.447
0.2,258.919,1299.169,76.044,190.03,1247.872,48.83,196.478,1287.559,29.174,196.777,1272.889,45.052,309.337,1268.234,55.267
0.205,259.001,1299.041,76.232,190.176,1247.962,48.566,196.747,1287.635,28.859,196.461,1272.862,45.336,309.78,1268.143,55.915
0.21,258.906,1299.048,76.148,190.391,1247.996,48.319,196.771,1287.633,28.824,196.79,1272.888,45.053,309.73,1268.118,55.923
0.215,258.746,1299.194,75.577,190.194,1247.919,48.603,196.618,1287.621,28.987,196.537,1272.858,45.37,309.829,1268.054,56.005
0.22,259.318,1299.051,76.205,190.191,1247.934,48.513,196.603,1287.566,29.074,196.619,1272.865,45.262,309.397,1268.199,55.53
0.225,258.868,1299.138,75.765,190.286,1247.974,48.514,196.676,1287.56,28.903,196.563,1272.84,45.305,309.518,1268.116,55.747
0.23,258.886,1298.977,76.019,189.858,1247.874,48.781,196.524,1287.595,29.058,196.384,1272.788,45.418,309.714,1268.025,56.069
0.235,258.997,1299.083,76.025,190.324,1247.968,48.368,196.654,1287.638,28.926,196.622,1272.885,45.222,309.803,1268.111,56.402
0.24,258.697,1299.144,75.526,190.253,1247.954,48.531,196.461,1287.579,29.114,196.543,1272.855,45.344,309.636,1268.066,55.944
0.245,258.693,1299.144,75.743,190.045,1247.908,48.592,196.453,1287.571,29.193,196.695,1272.936,45.142,309.564,1268.026,56.17
0.25,258.612,1299.08,75.676,190.349,1247.961,48.321,196.828,1287.656,28.764,196.594,1272.892,45.264,309.459,1268.006,56.065
0.255,258.872,1299.253,75.122,190.18,1247.97,48.525,196.58,1287.64,29.036,196.636,1272.888,45.183,309.497,1268.044,56.041
0.26,259.278,1299.06,76.22,190.193,1247.943,48.524,196.564,1287.602,29.124,196.675,1272.877,45.261,309.401,1268.02,56.119
0.265,258.855,1299.172,75.388,190.324,1247.922,48.326,196.562,1287.608,29.009,196.684,1272.895,45.183,309.342,1268.06,55.954
0.27,258.802,1299.156,75.73,190.066,1247.995,48.578,196.367,1287.654,29.234,196.418,1272.876,45.418,309.607,1267.911,56.306
0.275,258.879,1299.019,75.819,190.246,1247.986,48.461,196.75,1287.66,28.906,196.732,1272.908,45.082,309.28,1268.016,56.218
0.28,258.445,1299.062,75.587,190.25,1247.968,48.446,196.704,1287.683,28.849,196.671,1272.91,45.191,309.076,1267.991,55.864
0.285,258.97,1299.115,75.76,190.139,1247.92,48.683,196.559,1287.694,28.995,196.731,1272.918,45.179,309.316,1267.973,56.153
0.29,259.135,1299.017,76.199,190.411,1247.986,48.286,196.55,1287.599,29.099,196.681,1272.888,45.254,309.103,1268.054,56.126
0.295,258.616,1299.118,75.816,190.201,1247.993,48.638,196.42,1287.599,29.244,196.541,1272.872,45.357,309.487,1267.897,56.458
0.3,258.714,1299.124,75.748,189.874,1247.913,48.978,196.649,1287.638,28.962,196.602,1272.873,45.279,309.384,1267.917,56.378
0.305,258.685,1299.016,76.046,190.317,1247.951,48.412,196.7,1287.617,28.872,196.87,1272.921,44.957,308.874,1268.04,55.837
0.31,258.275,1299.002,75.985,189.869,1247.924,48.846,196.635,1287.638,29.005,196.545,1272.888,45.322,309.273,1268.002,56.321
0.315,258.997,1299.013,75.763,189.955,1247.908,48.97,196.482,1287.589,29.156,196.596,1272.874,45.337,309.161,1267.984,56.255
0.32,258.417,1299.088,75.766,190.125,1247.909,48.648,196.479,1287.561,29.201,196.584,1272.844,45.382,308.93,1268.049,55.962
0.325,258.838,1299.037,76.283,190.429,1247.936,48.262,196.46,1287.654,29.177,196.425,1272.831,45.615,309.406,1267.909,56.487
0.33,259.289,1299.016,76.37,190.142,1247.949,48.638,196.674,1287.659,28.904,196.869,1272.93,45.021,309.09,1268.027,56.194
0.335,258.631,1299.098,75.949,190.244,1247.907,48.555,196.637,1287.647,28.997,196.62,1272.875,45.302,308.993,1267.917,56.048
0.34,259.038,1299.036,76.271,190.084,1247.946,48.655,196.615,1287.644,29.02,196.402,1272.84,45.524,308.783,1268.005,55.756
