Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,253.976,1288.704,91.969,189.78,1244.688,77.078,200.658,1288.33,67.149,194.293,1262.045,79.779,315.952,1266.926,51.35
0.005,253.976,1288.704,91.969,189.78,1244.688,77.078,200.658,1288.33,67.149,194.293,1262.045,79.779,315.952,1266.926,51.35
0.01,254.202,1288.668,92.316,189.692,1244.726,77.135,200.873,1288.351,66.843,194.32,1262.068,79.728,315.799,1266.927,51.001
0.015,253.739,1288.714,92.048,189.554,1244.629,77.217,200.704,1288.311,67.084,194.379,1262.052,79.684,315.635,1267.018,50.898
0.02,254.049,1288.641,92.252,189.667,1244.697,77.094,200.761,1288.323,67.009,194.51,1262.058,79.558,315.627,1267.011,50.851
0.025,253.691,1288.75,92.073,189.68,1244.692,77.194,200.487,1288.305,67.321,194.187,1262.047,79.923,315.738,1266.993,50.82
0.03,254.129,1288.632,92.747,189.691,1244.724,77.221,200.739,1288.325,67.116,194.291,1262.009,79.842,315.603,1267.082,50.852
0.035,253.772,1288.63,92.333,189.864,1244.71,76.984,200.672,1288.308,67.165,194.288,1262.022,79.798,315.815,1267.022,51.125
0.04,253.882,1288.629,92.524,189.678,1244.691,77.153,200.927,1288.406,66.843,194.141,1262.027,79.981,316.137,1266.828,51.574
0.045,254.428,1288.667,92.561,189.62,1244.643,77.233,200.862,1288.368,66.949,194.281,1262.039,79.792,315.577,1267.042,50.856
0.05,253.959,1288.626,92.78,189.7,1244.715,77.117,200.457,1288.353,67.311,193.981,1262.008,80.149,315.616,1267.108,50.924
0.055,254.33,1288.656,92.567,189.691,1244.694,77.238,200.888,1288.416,66.943,194.315,1262.006,79.767,315.515,1267.08,50.587
0.06,253.643,1288.646,92.598,189.505,1244.69,77.316,200.385,1288.306,67.438,194.085,1262.042,80.06,315.9,1266.932,51.105
0.065,254.196,1288.625,92.7,189.571,1244.669,77.321,200.673,1288.374,67.088,194.081,1261.988,80.115,315.467,1267.081,50.712
0.07,253.66,1288.665,92.51,189.542,1244.626,77.301,200.564,1288.335,67.242,194.116,1262.058,79.879,315.315,1267.115,50.261
0.075,253.868,1288.707,92.601,189.625,1244.677,77.211,200.89,1288.453,66.851,194.276,1262.084,79.76,315.694,1267.009,50.974
0.08,253.71,1288.699,92.309,189.963,1244.762,76.848,200.789,1288.41,66.979,194.31,1262.082,79.738,315.348,1267.098,50.502
0.085,253.914,1288.687,92.604,189.378,1244.692,77.429,200.768,1288.392,67.015,194.162,1262.043,79.928,315.647,1267.104,50.905
0.09,253.539,1288.672,92.789,189.447,1244.624,77.47,200.564,1288.335,67.267,194.267,1262.073,79.813,315.511,1267.05,50.842
0.095,253.746,1288.688,92.406,189.377,1244.689,77.483,200.551,1288.371,67.262,194.046,1262.05,80.082,315.949,1266.971,51.284
0.1,254.317,1288.591,92.979,189.708,1244.743,77.068,200.785,1288.401,67.013,194.269,1262.052,79.801,315.772,1267.086,50.943
0.105,254.036,1288.771,92.345,189.508,1244.686,77.364,200.584,1288.382,67.22,194.174,1262.051,79.981,315.928,1266.954,51.483
0.11,254.025,1288.665,92.656,189.601,1244.72,77.23,200.853,1288.454,66.892,193.943,1262.012,80.167,315.544,1267.102,50.883
0.115,253.885,1288.627,92.692,189.374,1244.683,77.447,200.716,1288.433,67.077,194.116,1262.066,79.973,315.579,1267.06,50.749
0.12,254.369,1288.625,92.688,189.703,1244.752,77.137,200.694,1288.375,67.144,194.229,1262.082,79.763,315.792,1267.048,51.331
0.125,253.633,1288.746,92.49,189.427,1244.693,77.399,200.681,1288.396,67.129,194.39,1262.148,79.59,315.597,1267.103,51.049
0.13,254.285,1288.785,92.593,189.41,1244.688,77.377,200.552,1288.379,67.235,194.102,1262.056,79.99,315.972,1267.019,51.448
