Hoof ID,Condition,Shoe
3,Laminitic,US
2,Laminitic,US
7,Laminitic,US
20,Laminitic,US
28,Laminitic,US
29,Laminitic,US
30,Laminitic,US
31,Laminitic,US
10,Unaffected,US
13,Unaffected,US
25,Unaffected,US
6,Unaffected,US
12,Unaffected,US
19,Unaffected,US
22,Unaffected,US
23,Unaffected,US
3,Laminitic,OH
2,Laminitic,OH
7,Laminitic,OH
20,Laminitic,OH
28,Laminitic,OH
29,Laminitic,OH
30,Laminitic,OH
31,Laminitic,OH
10,Unaffected,OH
13,Unaffected,OH
25,Unaffected,OH
6,Unaffected,OH
12,Unaffected,OH
19,Unaffected,OH
22,Unaffected,OH
23,Unaffected,OH
3,Laminitic,EB
2,Laminitic,EB
7,Laminitic,EB
20,Laminitic,EB
28,Laminitic,EB
29,Laminitic,EB
30,Laminitic,EB
31,Laminitic,EB
10,Unaffected,EB
13,Unaffected,EB
25,Unaffected,EB
6,Unaffected,EB
12,Unaffected,EB
19,Unaffected,EB
22,Unaffected,EB
23,Unaffected,EB
3,Laminitic,HB
2,Laminitic,HB
7,Laminitic,HB
20,Laminitic,HB
28,Laminitic,HB
29,Laminitic,HB
30,Laminitic,HB
31,Laminitic,HB
10,Unaffected,HB
13,Unaffected,HB
25,Unaffected,HB
6,Unaffected,HB
12,Unaffected,HB
19,Unaffected,HB
22,Unaffected,HB
23,Unaffected,HB
3,Laminitic,US
2,Laminitic,US
7,Laminitic,US
20,Laminitic,US
28,Laminitic,US
29,Laminitic,US
30,Laminitic,US
31,Laminitic,US
10,Unaffected,US
13,Unaffected,US
25,Unaffected,US
6,Unaffected,US
12,Unaffected,US
19,Unaffected,US
22,Unaffected,US
23,Unaffected,US
3,Laminitic,OH
2,Laminitic,OH
7,Laminitic,OH
20,Laminitic,OH
28,Laminitic,OH
29,Laminitic,OH
30,Laminitic,OH
31,Laminitic,OH
10,Unaffected,OH
13,Unaffected,OH
25,Unaffected,OH
6,Unaffected,OH
12,Unaffected,OH
19,Unaffected,OH
22,Unaffected,OH
23,Unaffected,OH
3,Laminitic,EB
2,Laminitic,EB
7,Laminitic,EB
20,Laminitic,EB
28,Laminitic,EB
29,Laminitic,EB
30,Laminitic,EB
31,Laminitic,EB
10,Unaffected,EB
13,Unaffected,EB
25,Unaffected,EB
6,Unaffected,EB
12,Unaffected,EB
19,Unaffected,EB
22,Unaffected,EB
23,Unaffected,EB
3,Laminitic,HB
2,Laminitic,HB
7,Laminitic,HB
20,Laminitic,HB
28,Laminitic,HB
29,Laminitic,HB
30,Laminitic,HB
31,Laminitic,HB
10,Unaffected,HB
13,Unaffected,HB
25,Unaffected,HB
6,Unaffected,HB
12,Unaffected,HB
19,Unaffected,HB
22,Unaffected,HB
23,Unaffected,HB
3,Laminitic,US
2,Laminitic,US
7,Laminitic,US
20,Laminitic,US
28,Laminitic,US
29,Laminitic,US
30,Laminitic,US
31,Laminitic,US
10,Unaffected,US
13,Unaffected,US
25,Unaffected,US
6,Unaffected,US
12,Unaffected,US
19,Unaffected,US
22,Unaffected,US
23,Unaffected,US
3,Laminitic,OH
2,Laminitic,OH
7,Laminitic,OH
20,Laminitic,OH
28,Laminitic,OH
29,Laminitic,OH
30,Laminitic,OH
31,Laminitic,OH
10,Unaffected,OH
13,Unaffected,OH
25,Unaffected,OH
6,Unaffected,OH
12,Unaffected,OH
19,Unaffected,OH
22,Unaffected,OH
23,Unaffected,OH
3,Laminitic,EB
2,Laminitic,EB
7,Laminitic,EB
20,Laminitic,EB
28,Laminitic,EB
29,Laminitic,EB
30,Laminitic,EB
31,Laminitic,EB
10,Unaffected,EB
13,Unaffected,EB
25,Unaffected,EB
6,Unaffected,EB
12,Unaffected,EB
19,Unaffected,EB
22,Unaffected,EB
23,Unaffected,EB
3,Laminitic,HB
2,Laminitic,HB
7,Laminitic,HB
20,Laminitic,HB
28,Laminitic,HB
29,Laminitic,HB
30,Laminitic,HB
31,Laminitic,HB
10,Unaffected,HB
13,Unaffected,HB
25,Unaffected,HB
6,Unaffected,HB
12,Unaffected,HB
19,Unaffected,HB
22,Unaffected,HB
23,Unaffected,HB
3,Laminitic,US
2,Laminitic,US
7,Laminitic,US
20,Laminitic,US
28,Laminitic,US
29,Laminitic,US
30,Laminitic,US
31,Laminitic,US
10,Unaffected,US
13,Unaffected,US
25,Unaffected,US
6,Unaffected,US
12,Unaffected,US
19,Unaffected,US
22,Unaffected,US
23,Unaffected,US
3,Laminitic,OH
2,Laminitic,OH
7,Laminitic,OH
20,Laminitic,OH
28,Laminitic,OH
29,Laminitic,OH
30,Laminitic,OH
31,Laminitic,OH
10,Unaffected,OH
13,Unaffected,OH
25,Unaffected,OH
6,Unaffected,OH
12,Unaffected,OH
19,Unaffected,OH
22,Unaffected,OH
23,Unaffected,OH
3,Laminitic,EB
2,Laminitic,EB
7,Laminitic,EB
20,Laminitic,EB
28,Laminitic,EB
29,Laminitic,EB
30,Laminitic,EB
31,Laminitic,EB
10,Unaffected,EB
13,Unaffected,EB
25,Unaffected,EB
6,Unaffected,EB
12,Unaffected,EB
19,Unaffected,EB
22,Unaffected,EB
23,Unaffected,EB
3,Laminitic,HB
2,Laminitic,HB
7,Laminitic,HB
20,Laminitic,HB
28,Laminitic,HB
29,Laminitic,HB
30,Laminitic,HB
31,Laminitic,HB
10,Unaffected,HB
13,Unaffected,HB
25,Unaffected,HB
6,Unaffected,HB
12,Unaffected,HB
19,Unaffected,HB
22,Unaffected,HB
23,Unaffected,HB
3,Laminitic,US
2,Laminitic,US
7,Laminitic,US
20,Laminitic,US
28,Laminitic,US
29,Laminitic,US
30,Laminitic,US
31,Laminitic,US
10,Unaffected,US
13,Unaffected,US
25,Unaffected,US
6,Unaffected,US
12,Unaffected,US
19,Unaffected,US
22,Unaffected,US
23,Unaffected,US
3,Laminitic,OH
2,Laminitic,OH
7,Laminitic,OH
20,Laminitic,OH
28,Laminitic,OH
29,Laminitic,OH
30,Laminitic,OH
31,Laminitic,OH
10,Unaffected,OH
13,Unaffected,OH
25,Unaffected,OH
6,Unaffected,OH
12,Unaffected,OH
19,Unaffected,OH
22,Unaffected,OH
23,Unaffected,OH
3,Laminitic,EB
2,Laminitic,EB
7,Laminitic,EB
20,Laminitic,EB
28,Laminitic,EB
29,Laminitic,EB
30,Laminitic,EB
31,Laminitic,EB
10,Unaffected,EB
13,Unaffected,EB
25,Unaffected,EB
6,Unaffected,EB
12,Unaffected,EB
19,Unaffected,EB
22,Unaffected,EB
23,Unaffected,EB
3,Laminitic,HB
2,Laminitic,HB
7,Laminitic,HB
20,Laminitic,HB
28,Laminitic,HB
29,Laminitic,HB
30,Laminitic,HB
31,Laminitic,HB
10,Unaffected,HB
13,Unaffected,HB
25,Unaffected,HB
6,Unaffected,HB
12,Unaffected,HB
19,Unaffected,HB
22,Unaffected,HB
23,Unaffected,HB
3,Laminitic,US
2,Laminitic,US
7,Laminitic,US
20,Laminitic,US
28,Laminitic,US
29,Laminitic,US
30,Laminitic,US
31,Laminitic,US
10,Unaffected,US
13,Unaffected,US
25,Unaffected,US
6,Unaffected,US
12,Unaffected,US
19,Unaffected,US
22,Unaffected,US
23,Unaffected,US
3,Laminitic,OH
2,Laminitic,OH
7,Laminitic,OH
20,Laminitic,OH
28,Laminitic,OH
29,Laminitic,OH
30,Laminitic,OH
31,Laminitic,OH
10,Unaffected,OH
13,Unaffected,OH
25,Unaffected,OH
6,Unaffected,OH
12,Unaffected,OH
19,Unaffected,OH
22,Unaffected,OH
23,Unaffected,OH
3,Laminitic,EB
2,Laminitic,EB
7,Laminitic,EB
20,Laminitic,EB
28,Laminitic,EB
29,Laminitic,EB
30,Laminitic,EB
31,Laminitic,EB
10,Unaffected,EB
13,Unaffected,EB
25,Unaffected,EB
6,Unaffected,EB
12,Unaffected,EB
19,Unaffected,EB
22,Unaffected,EB
23,Unaffected,EB
3,Laminitic,HB
2,Laminitic,HB
7,Laminitic,HB
20,Laminitic,HB
28,Laminitic,HB
29,Laminitic,HB
30,Laminitic,HB
31,Laminitic,HB
10,Unaffected,HB
13,Unaffected,HB
25,Unaffected,HB
6,Unaffected,HB
12,Unaffected,HB
19,Unaffected,HB
22,Unaffected,HB
23,Unaffected,HB
3,Laminitic,US
2,Laminitic,US
7,Laminitic,US
20,Laminitic,US
28,Laminitic,US
29,Laminitic,US
30,Laminitic,US
31,Laminitic,US
10,Unaffected,US
13,Unaffected,US
25,Unaffected,US
6,Unaffected,US
12,Unaffected,US
19,Unaffected,US
22,Unaffected,US
23,Unaffected,US
3,Laminitic,OH
2,Laminitic,OH
7,Laminitic,OH
20,Laminitic,OH
28,Laminitic,OH
29,Laminitic,OH
30,Laminitic,OH
31,Laminitic,OH
10,Unaffected,OH
13,Unaffected,OH
25,Unaffected,OH
6,Unaffected,OH
12,Unaffected,OH
19,Unaffected,OH
22,Unaffected,OH
23,Unaffected,OH
3,Laminitic,EB
2,Laminitic,EB
7,Laminitic,EB
20,Laminitic,EB
28,Laminitic,EB
29,Laminitic,EB
30,Laminitic,EB
31,Laminitic,EB
10,Unaffected,EB
13,Unaffected,EB
25,Unaffected,EB
6,Unaffected,EB
