Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,234.394,1307.326,51.269,174.995,1263.24,37.003,182.463,1297.91,14.559,175.555,1280.552,27.788,301.117,1279.431,24.359
0.005,234.394,1307.326,51.269,174.995,1263.24,37.003,182.463,1297.91,14.559,175.555,1280.552,27.788,301.117,1279.431,24.359
0.01,234.438,1307.406,51.117,175.117,1263.277,36.845,182.515,1297.91,14.522,175.368,1280.547,27.958,300.933,1279.497,24.151
0.015,234.291,1307.383,50.914,175.18,1263.259,36.77,182.56,1297.92,14.491,175.331,1280.52,27.987,301.151,1279.476,24.2
0.02,234.173,1307.362,50.903,175.297,1263.265,36.654,182.444,1297.906,14.628,175.383,1280.56,27.929,301.197,1279.474,24.29
0.025,234.051,1307.351,51.154,175.032,1263.225,36.944,182.71,1297.938,14.382,175.364,1280.51,28.001,301.091,1279.535,24.155
0.03,234.167,1307.349,51.379,175.122,1263.246,36.793,182.487,1297.917,14.592,175.391,1280.554,27.938,301.101,1279.474,24.135
0.035,234.136,1307.371,51.126,175.248,1263.27,36.806,182.483,1297.907,14.603,175.256,1280.512,28.106,301.02,1279.455,24.162
0.04,234.053,1307.371,51.019,174.984,1263.254,36.991,182.66,1297.957,14.426,175.403,1280.553,27.937,301.183,1279.422,24.337
0.045,234.31,1307.403,51.239,175.009,1263.26,36.933,182.52,1297.936,14.543,175.26,1280.524,28.072,301.116,1279.516,24.155
0.05,234.337,1307.434,51.053,175.003,1263.246,37.013,182.479,1297.925,14.563,175.404,1280.548,27.971,300.889,1279.591,24.072
0.055,234.057,1307.439,51.12,175.155,1263.289,36.821,182.306,1297.902,14.778,175.312,1280.536,28.002,301.038,1279.528,24.096
0.06,234.606,1307.44,51.064,174.902,1263.271,36.995,182.408,1297.921,14.654,175.453,1280.561,27.916,301.125,1279.55,24.327
0.065,234.312,1307.448,50.911,175.04,1263.292,36.905,182.448,1297.944,14.678,175.201,1280.544,28.135,301.159,1279.509,24.312
0.07,234.37,1307.412,51.342,174.923,1263.284,37.013,182.527,1297.971,14.563,175.321,1280.547,27.983,300.729,1279.599,23.806
0.075,234.059,1307.416,51.147,175.161,1263.303,36.795,182.369,1297.962,14.655,175.548,1280.61,27.81,301.191,1279.503,24.458
0.08,234.155,1307.447,51.009,175.001,1263.253,36.965,182.541,1297.974,14.508,175.369,1280.599,27.956,301.077,1279.595,24.226
0.085,234.425,1307.455,50.77,175.05,1263.305,36.918,182.368,1297.972,14.714,175.253,1280.559,28.108,301.413,1279.523,24.74
0.09,234.392,1307.467,51.018,175.225,1263.303,36.804,182.467,1297.947,14.617,175.173,1280.52,28.179,300.839,1279.571,24
0.095,234.253,1307.406,51.126,175.099,1263.29,36.832,182.468,1297.975,14.642,175.181,1280.546,28.166,301.021,1279.607,24.305
0.1,234.198,1307.375,51.238,175.012,1263.281,36.9,182.502,1297.967,14.505,175.355,1280.576,27.966,301.149,1279.616,24.386
0.105,234.054,1307.444,51.076,174.997,1263.321,36.921,182.372,1297.975,14.679,175.39,1280.586,27.955,301.368,1279.508,24.699
0.11,234.109,1307.455,51.118,175.037,1263.264,36.958,182.398,1297.976,14.588,175.361,1280.584,27.975,300.762,1279.592,23.821
0.115,233.774,1307.509,50.982,175.034,1263.279,36.964,182.248,1297.918,14.834,175.203,1280.556,28.154,301.101,1279.583,24.278
0.12,234.191,1307.439,51.053,175.057,1263.268,36.872,182.596,1298.02,14.525,175.187,1280.544,28.152,301.084,1279.538,24.45
0.125,234.166,1307.398,51.248,175.116,1263.264,36.891,182.429,1298.01,14.635,175.459,1280.596,27.917,300.878,1279.572,24.187
0.13,234.392,1307.418,50.886,175.025,1263.26,36.951,182.528,1297.971,14.554,175.579,1280.606,27.78,301.136,1279.496,24.521
0.135,234.28,1307.484,51.083,174.915,1263.278,37.024,182.555,1297.999,14.539,175.253,1280.592,28.071,301.333,1279.603,24.707
0.14,234.036,1307.414,50.908,175.042,1263.308,36.931,182.441,1297.965,14.657,175.275,1280.564,28.12,301.306,1279.589,24.637
0.145,234.266,1307.398,51.14,175.238,1263.316,36.763,182.634,1298.029,14.484,175.118,1280.559,28.244,301.048,1279.619,24.375
0.15,234.241,1307.401,51.354,175.112,1263.331,36.939,182.501,1298.011,14.586,175.3,1280.54,28.087,301.319,1279.521,24.821
0.155,234.088,1307.418,51.456,175.228,1263.326,36.79,182.348,1297.994,14.786,175.374,1280.586,27.998,301.107,1279.625,24.479
0.16,234.16,1307.501,50.863,175.152,1263.326,36.853,182.371,1297.964,14.712,175.267,1280.603,28.12,300.995,1279.62,24.186
0.165,234.337,1307.419,51.163,175.112,1263.327,36.926,182.413,1298.017,14.672,175.285,1280.585,28.119,301.094,1279.63,24.402
0.17,234.453,1307.519,50.826,175.232,1263.328,36.762,182.616,1298.066,14.505,175.234,1280.605,28.187,301.246,1279.52,24.692
0.175,234.24,1307.492,51.139,174.79,1263.287,37.173,182.343,1298.003,14.797,175.459,1280.641,27.963,300.867,1279.613,23.779
0.18,234.1,1307.519,50.83,175.021,1263.304,36.973,182.488,1298.039,14.66,175.434,1280.64,28.032,301.04,1279.574,24.296
0.185,234.157,1307.542,50.666,174.893,1263.291,37.102,182.416,1298.008,14.723,175.402,1280.611,28.042,301.076,1279.589,24.371
0.19,234.372,1307.468,51.126,175.037,1263.329,37.008,182.626,1298.081,14.535,175.337,1280.621,28.089,300.959,1279.576,24.284
0.195,234.179,1307.487,51.151,175.055,1263.331,36.992,182.433,1298.014,14.721,175.459,1280.615,27.996,300.929,1279.6,24.15
0.2,234.313,1307.455,51.123,174.891,1263.293,37.107,182.441,1298.043,14.717,175.336,1280.632,28.088,301.066,1279.62,24.297
0.205,234.554,1307.434,51.58,175.016,1263.303,37.026,182.467,1298.037,14.69,175.3,1280.604,28.123,301.19,1279.631,24.455
0.21,234.544,1307.453,51.333,174.825,1263.304,37.225,182.677,1298.07,14.522,175.367,1280.625,28.108,301.217,1279.595,24.454
0.215,234.28,1307.451,51.302,175.093,1263.31,37.023,182.44,1298.018,14.74,175.47,1280.628,27.936,301.167,1279.663,24.336
0.22,234.515,1307.511,51.235,175.176,1263.371,36.85,182.484,1298.017,14.719,175.282,1280.597,28.157,301.138,1279.719,24.282
0.225,234.241,1307.537,51.217,174.971,1263.323,37.074,182.461,1298.033,14.731,175.286,1280.594,28.158,301.259,1279.627,24.476
0.23,234.362,1307.505,51.139,174.956,1263.281,37.087,182.472,1298.035,14.708,175.502,1280.626,27.966,301.112,1279.672,24.325
0.235,234.144,1307.478,51.29,174.807,1263.31,37.221,182.566,1298.058,14.585,175.225,1280.59,28.187,300.776,1279.719,23.85
0.24,234.012,1307.441,51.049,175.178,1263.384,37.013,182.405,1298.043,14.797,175.275,1280.598,28.186,301.19,1279.613,24.52
0.245,234.206,1307.509,51.219,175.183,1263.366,36.905,182.495,1298.062,14.679,175.38,1280.614,28.102,301.273,1279.607,24.688
0.25,234.044,1307.5,51.287,175.294,1263.42,36.729,182.53,1298.078,14.651,175.378,1280.625,28.052,300.988,1279.744,24.309
0.255,234.17,1307.459,51.322,175.16,1263.386,36.885,182.752,1298.127,14.46,175.321,1280.631,28.131,301.012,1279.596,24.305
0.26,234.142,1307.578,50.774,174.817,1263.319,37.25,182.699,1298.092,14.575,175.543,1280.666,27.959,301.035,1279.661,24.3
0.265,234.197,1307.511,51.108,175.057,1263.366,37.048,182.474,1298.063,14.762,175.311,1280.627,28.166,300.709,1279.795,23.648
0.27,234.343,1307.549,50.681,175.159,1263.36,36.842,182.433,1298.069,14.781,175.563,1280.671,27.963,301.04,1279.638,24.299
0.275,234.301,1307.573,51.174,175.044,1263.341,37.026,182.57,1298.099,14.608,175.422,1280.646,28.116,300.749,1279.768,23.856
0.28,234.293,1307.532,51.195,175.095,1263.342,36.992,182.583,1298.118,14.678,175.546,1280.652,27.915,300.907,1279.707,24.138
0.285,234.11,1307.559,50.964,175.295,1263.403,36.873,182.44,1298.068,14.818,175.378,1280.665,28.109,301.09,1279.695,24.398
0.29,234.278,1307.533,51.2,175.345,1263.359,36.749,182.475,1298.095,14.754,175.457,1280.67,28.087,300.969,1279.729,24.319
0.295,234.374,1307.561,50.961,175.155,1263.355,36.991,182.554,1298.079,14.666,175.534,1280.664,27.982,301.235,1279.667,24.678
0.3,234.188,1307.576,50.948,175.02,1263.391,37.04,182.493,1298.083,14.754,175.36,1280.626,28.217,300.892,1279.724,24.125
0.305,234.452,1307.519,51.05,175.064,1263.346,37.021,182.521,1298.104,14.749,175.382,1280.65,28.108,300.754,1279.713,24.076
0.31,234.278,1307.521,51.213,174.896,1263.347,37.189,182.453,1298.098,14.762,175.454,1280.64,28.057,300.959,1279.696,24.209
0.315,234.249,1307.553,50.803,174.821,1263.326,37.288,182.603,1298.091,14.704,175.37,1280.632,28.132,301.016,1279.707,24.308
0.32,234.243,1307.561,50.958,175.099,1263.361,36.99,182.609,1298.104,14.662,175.337,1280.658,28.19,301.264,1279.716,24.677
0.325,234.406,1307.567,50.918,174.845,1263.323,37.272,182.424,1298.1,14.823,175.493,1280.656,28.096,300.869,1279.809,24.084
0.33,234.176,1307.548,51.082,174.851,1263.36,37.204,182.459,1298.108,14.839,175.391,1280.633,28.166,301.143,1279.729,24.481
0.335,234.409,1307.499,51.406,175.011,1263.373,37.112,182.558,1298.125,14.771,175.466,1280.657,28.112,301.015,1279.787,24.185
