Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,236.998,1309.039,57.264,173.063,1262.108,27.807,184.893,1305.245,25.347,178.126,1284.966,39.34,303.21,1284.458,23.5
0.005,236.998,1309.039,57.264,173.063,1262.108,27.807,184.893,1305.245,25.347,178.126,1284.966,39.34,303.21,1284.458,23.5
0.01,237.131,1309.079,57.221,173.531,1262.193,27.378,184.637,1305.194,25.6,177.885,1284.913,39.577,303.325,1284.463,23.626
0.015,237.15,1309.078,57.238,173.217,1262.101,27.571,184.85,1305.286,25.409,177.89,1284.933,39.594,303.29,1284.444,23.571
0.02,236.927,1309.052,57.073,173.438,1262.177,27.429,184.841,1305.251,25.426,177.982,1284.935,39.502,303.418,1284.513,23.678
0.025,237.341,1309.022,57.265,173.393,1262.165,27.504,184.643,1305.238,25.584,178.064,1284.956,39.42,303.29,1284.404,23.686
0.03,237.129,1309.119,57.083,173.359,1262.141,27.549,184.564,1305.211,25.629,178.051,1284.96,39.478,303.13,1284.466,23.393
0.035,237.032,1309.036,57.519,173.231,1262.156,27.619,184.735,1305.238,25.495,178.022,1284.953,39.466,303.338,1284.482,23.36
0.04,237.117,1309.104,57.174,173.454,1262.148,27.485,184.857,1305.276,25.427,178.045,1284.948,39.44,303.047,1284.504,23.336
0.045,236.892,1309.08,57.452,173.369,1262.172,27.492,184.706,1305.252,25.547,177.936,1284.972,39.536,303.118,1284.535,23.517
0.05,237.128,1309.105,57.36,173.437,1262.198,27.42,184.795,1305.246,25.485,178.11,1284.982,39.36,303.461,1284.452,24.014
0.055,236.691,1309.139,56.787,173.277,1262.187,27.618,184.772,1305.273,25.462,178.008,1284.994,39.438,303.323,1284.446,23.734
0.06,237.076,1309.054,57.374,173.338,1262.18,27.534,184.636,1305.25,25.581,178.008,1284.982,39.47,303.546,1284.48,23.978
0.065,236.924,1309.112,57.061,173.377,1262.191,27.445,184.743,1305.283,25.543,178.164,1285.002,39.317,303.707,1284.448,24.163
0.07,237.005,1309.065,57.748,173.419,1262.182,27.474,184.778,1305.275,25.459,177.865,1284.976,39.606,303.5,1284.507,23.894
0.075,237.275,1309.126,57.337,173.252,1262.188,27.601,184.912,1305.326,25.327,178.062,1284.994,39.484,303.611,1284.49,24.057
0.08,236.992,1309.157,57.194,173.409,1262.226,27.474,184.824,1305.284,25.432,177.859,1284.959,39.638,303.691,1284.456,24.126
0.085,236.807,1309.108,57.19,173.231,1262.162,27.678,185.054,1305.327,25.237,177.988,1285,39.513,303.665,1284.431,24.214
0.09,237.08,1309.096,57.375,173.458,1262.209,27.487,184.796,1305.302,25.435,177.99,1284.98,39.491,303.672,1284.47,24.12
0.095,237.233,1309.132,57.387,173.498,1262.283,27.373,184.75,1305.287,25.506,178.062,1285.046,39.397,303.659,1284.504,24.146
0.1,237.019,1309.156,57.376,173.214,1262.208,27.636,184.819,1305.336,25.47,177.916,1284.985,39.614,303.673,1284.491,24.178
0.105,237.115,1309.186,57.086,173.343,1262.237,27.541,184.736,1305.322,25.536,178.007,1285.018,39.485,303.337,1284.549,23.749
0.11,237.071,1309.15,57.377,173.284,1262.196,27.654,184.716,1305.307,25.53,178.025,1285,39.43,303.917,1284.502,24.587
0.115,236.874,1309.089,57.401,173.399,1262.276,27.514,184.925,1305.356,25.338,177.94,1284.992,39.535,303.265,1284.519,23.552
0.12,236.925,1309.126,57.309,173.323,1262.248,27.559,184.837,1305.341,25.454,177.913,1285.014,39.532,303.31,1284.491,23.804
0.125,237.191,1309.182,57.167,173.313,1262.269,27.51,184.645,1305.307,25.6,178.106,1285.047,39.429,303.218,1284.606,23.565
0.13,237.347,1309.058,57.777,173.531,1262.318,27.346,184.723,1305.324,25.558,177.91,1285.018,39.559,303.729,1284.504,24.31
0.135,236.84,1309.134,57.49,173.354,1262.272,27.514,184.851,1305.333,25.49,177.988,1285.035,39.513,303.138,1284.596,23.438
0.14,237.291,1309.226,57.27,173.306,1262.239,27.581,184.654,1305.312,25.64,177.879,1284.997,39.586,303.388,1284.603,23.65
0.145,237.064,1309.164,57.202,173.456,1262.275,27.452,184.727,1305.323,25.548,177.951,1285.028,39.542,303.168,1284.666,23.444
0.15,237.408,1309.177,57.253,173.335,1262.259,27.561,184.774,1305.341,25.483,177.871,1285.015,39.592,303.47,1284.575,23.852
0.155,237.031,1309.123,57.349,173.26,1262.254,27.651,184.83,1305.381,25.425,177.824,1285.006,39.71,303.375,1284.489,23.959
0.16,237.655,1309.19,57.554,173.385,1262.32,27.487,184.757,1305.389,25.532,178.037,1285.045,39.506,303.638,1284.527,24.187
0.165,236.888,1309.22,57.06,173.324,1262.259,27.578,184.697,1305.334,25.615,178.008,1285.059,39.465,303.262,1284.719,23.582
0.17,237.112,1309.177,57.406,173.579,1262.256,27.303,184.791,1305.361,25.496,178.061,1285.031,39.434,303.37,1284.596,23.809
0.175,236.917,1309.184,57.219,173.444,1262.301,27.463,184.678,1305.343,25.595,178.089,1285.053,39.409,303.406,1284.615,23.672
0.18,237.036,1309.192,57.208,173.28,1262.265,27.548,184.625,1305.335,25.622,177.853,1285.012,39.673,303.651,1284.542,24.14
0.185,237.321,1309.144,57.441,173.29,1262.294,27.553,184.825,1305.366,25.474,177.868,1285.045,39.634,303.367,1284.566,23.903
0.19,237.256,1309.148,57.827,173.295,1262.295,27.583,184.783,1305.376,25.498,177.973,1285.076,39.534,303.419,1284.571,23.937
0.195,237.006,1309.263,57.193,173.178,1262.275,27.699,184.769,1305.372,25.523,177.913,1285.044,39.624,303.751,1284.55,24.488
0.2,237.236,1309.206,57.183,173.366,1262.286,27.562,184.659,1305.374,25.594,177.953,1285.043,39.517,303.615,1284.684,24.176
0.205,236.918,1309.218,57.181,173.392,1262.319,27.456,184.707,1305.38,25.599,178.002,1285.079,39.564,303.352,1284.692,23.733
0.21,237.246,1309.16,57.571,173.409,1262.36,27.465,184.874,1305.44,25.438,177.978,1285.06,39.572,303.625,1284.548,24.355
0.215,236.809,1309.137,57.454,173.354,1262.331,27.533,184.688,1305.372,25.548,177.872,1285.048,39.615,303.584,1284.708,23.923
0.22,237.364,1309.217,57.616,173.411,1262.358,27.476,184.752,1305.388,25.514,177.969,1285.077,39.537,303.153,1284.65,23.602
0.225,237.051,1309.242,57.26,173.39,1262.353,27.499,184.777,1305.412,25.518,178.014,1285.073,39.516,303.461,1284.673,24.008
0.23,236.968,1309.188,57.511,173.345,1262.343,27.584,184.695,1305.391,25.562,178.043,1285.1,39.476,303.508,1284.674,23.968
0.235,236.864,1309.227,57.396,173.274,1262.378,27.501,184.73,1305.425,25.553,177.922,1285.066,39.552,303.221,1284.686,23.702
0.24,237.092,1309.214,57.615,173.446,1262.368,27.434,184.572,1305.38,25.77,178.112,1285.123,39.457,303.711,1284.637,24.393
0.245,236.877,1309.246,56.995,173.362,1262.353,27.571,184.686,1305.415,25.587,177.967,1285.07,39.583,303.537,1284.666,24.087
0.25,236.871,1309.218,57.413,173.372,1262.355,27.51,184.753,1305.435,25.574,178.19,1285.126,39.378,303.762,1284.675,24.378
