Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,251.086,1293.743,48.887,182.476,1241.913,3.538,191.355,1280.256,-11.113,186.058,1261.87,-7.733,314.238,1261.422,27.242
0.005,251.086,1293.743,48.887,182.476,1241.913,3.538,191.355,1280.256,-11.113,186.058,1261.87,-7.733,314.238,1261.422,27.242
0.01,251.099,1293.761,49.225,182.491,1241.9,3.529,191.313,1280.266,-11.153,186.164,1261.916,-7.853,313.809,1261.483,26.628
0.015,250.859,1293.804,48.907,182.476,1241.921,3.604,191.075,1280.249,-10.926,185.898,1261.875,-7.68,314.002,1261.4,26.94
0.02,250.956,1293.751,49.017,182.505,1241.933,3.541,191.244,1280.257,-11.04,186.118,1261.92,-7.821,313.943,1261.459,26.68
0.025,251.433,1293.904,48.716,182.42,1241.945,3.631,191.278,1280.268,-11.102,185.907,1261.865,-7.658,314.051,1261.474,27.039
0.03,251.022,1293.842,48.863,182.576,1241.937,3.483,191.173,1280.29,-10.98,185.98,1261.87,-7.756,314.218,1261.441,27.144
0.035,251.281,1293.873,48.719,182.549,1241.933,3.429,191.208,1280.295,-10.999,186.17,1261.923,-7.882,314.166,1261.449,27.004
0.04,251.22,1293.876,49.229,182.445,1241.953,3.558,191.325,1280.303,-11.145,186.097,1261.918,-7.844,313.748,1261.55,26.531
0.045,251.072,1293.831,48.949,182.51,1241.972,3.52,191.251,1280.288,-11.101,186.134,1261.924,-7.903,314.032,1261.441,26.969
0.05,251.073,1293.845,48.922,182.526,1241.952,3.477,191.282,1280.291,-11.082,185.932,1261.925,-7.744,314.108,1261.55,27.037
0.055,251.308,1293.805,48.947,182.546,1241.944,3.492,191.102,1280.264,-10.919,185.973,1261.875,-7.688,313.491,1261.57,26.153
0.06,251.066,1293.806,49.025,182.37,1241.972,3.59,191.359,1280.317,-11.204,186.051,1261.921,-7.728,314.136,1261.491,26.994
0.065,251.156,1293.844,48.872,182.401,1241.949,3.641,191.216,1280.265,-11.062,186.009,1261.878,-7.712,314.02,1261.448,27.108
0.07,251.191,1293.939,48.627,182.423,1241.927,3.641,191.173,1280.266,-11.008,185.825,1261.853,-7.51,313.944,1261.54,26.837
0.075,251.227,1293.814,49.005,182.532,1241.969,3.47,191.279,1280.321,-11.065,186.019,1261.924,-7.714,314.258,1261.476,27.265
0.08,251.216,1293.857,48.846,182.793,1242.017,3.277,191.333,1280.342,-11.182,186.126,1261.904,-7.823,314.231,1261.534,27.152
0.085,251.163,1293.806,49.11,182.309,1241.946,3.722,191.058,1280.268,-10.858,185.915,1261.902,-7.651,314.366,1261.509,27.485
0.09,251.06,1293.856,49.071,182.34,1241.958,3.728,191.22,1280.334,-11.017,186.145,1261.948,-7.811,314.249,1261.509,27.231
0.095,251.362,1293.923,48.818,182.412,1241.976,3.591,191.221,1280.309,-11.023,186.091,1261.923,-7.76,314.639,1261.481,27.885
0.1,251.149,1293.922,48.977,182.484,1241.977,3.596,191.074,1280.253,-10.835,186.127,1261.95,-7.773,314.547,1261.517,27.701
0.105,251.273,1293.821,49.232,182.422,1241.961,3.68,191.207,1280.307,-10.956,186.068,1261.951,-7.757,314.435,1261.511,27.609
0.11,251.588,1293.848,49.188,182.574,1242,3.477,191.196,1280.29,-10.902,186.002,1261.94,-7.708,314.384,1261.486,27.656
0.115,251.265,1293.851,49.196,182.554,1241.978,3.502,191.132,1280.33,-10.931,186.153,1261.989,-7.853,314.615,1261.495,27.942
0.12,251.368,1293.878,49.066,182.465,1241.991,3.603,191.32,1280.37,-11.125,186.074,1261.924,-7.765,314.516,1261.572,27.864
0.125,251.252,1293.884,49.076,182.551,1241.983,3.521,191.23,1280.339,-10.995,186.218,1261.957,-7.824,314.538,1261.533,27.764
0.13,251.222,1293.857,49.055,182.467,1242,3.526,191.121,1280.321,-10.929,186.025,1261.944,-7.704,314.396,1261.536,27.704
0.135,251.047,1293.921,48.817,182.494,1241.994,3.548,191.208,1280.356,-11.015,186.141,1261.973,-7.851,314.595,1261.524,27.859
0.14,251.415,1293.889,49.212,182.467,1241.96,3.609,191.09,1280.303,-10.894,186.046,1261.973,-7.738,314.61,1261.553,27.762
0.145,251.374,1293.866,49.192,182.296,1241.979,3.734,191.112,1280.348,-10.943,186.141,1261.964,-7.833,314.559,1261.516,27.776
0.15,250.988,1293.957,48.531,182.376,1241.998,3.701,191.265,1280.379,-11.093,186.246,1262.021,-7.851,314.59,1261.524,28.032
0.155,250.986,1293.924,48.859,182.239,1241.989,3.793,191.195,1280.363,-10.954,185.964,1261.959,-7.663,314.559,1261.455,27.896
0.16,251.095,1293.91,49.037,182.259,1241.974,3.752,191.113,1280.351,-10.956,185.964,1261.978,-7.662,314.508,1261.551,27.768
0.165,251.329,1293.856,48.992,182.375,1242.02,3.661,191.115,1280.373,-10.899,186.232,1262.013,-7.91,314.634,1261.525,27.785
0.17,251.291,1293.929,49.07,182.588,1242.037,3.481,191.29,1280.4,-11.103,186.044,1261.964,-7.729,314.531,1261.542,27.982
0.175,251.403,1293.884,49.291,182.613,1242.046,3.481,191.173,1280.396,-10.979,186.098,1261.985,-7.77,314.603,1261.5,27.84
0.18,251.016,1293.926,48.887,182.724,1242.051,3.374,191.228,1280.368,-11.052,185.804,1261.944,-7.569,314.801,1261.51,28.076
0.185,250.982,1293.921,48.937,182.455,1242.03,3.616,191.433,1280.447,-11.168,185.973,1261.99,-7.69,314.855,1261.539,28.344
0.19,251.161,1293.932,48.954,182.48,1242.068,3.566,191.112,1280.367,-10.912,186.046,1261.997,-7.753,314.315,1261.561,27.418
0.195,251.264,1293.891,49.335,182.613,1242.077,3.431,191.166,1280.386,-10.896,186.093,1261.99,-7.767,314.683,1261.567,27.986
0.2,251.172,1293.981,48.697,182.487,1242.079,3.552,191.406,1280.482,-11.15,186.126,1262.008,-7.787,314.773,1261.565,28.117
0.205,251.167,1293.918,49.223,182.505,1242.098,3.603,191.147,1280.389,-10.869,185.963,1261.984,-7.621,314.399,1261.656,27.775
0.21,251.085,1293.937,49.15,182.44,1242.086,3.638,191.182,1280.395,-10.93,186.083,1262.006,-7.774,314.844,1261.598,28.308
0.215,251.08,1293.962,49.148,182.446,1242.062,3.535,191.267,1280.437,-11.01,186.056,1262.017,-7.755,314.666,1261.609,27.931
0.22,251.256,1293.989,48.948,182.377,1242.076,3.66,191.017,1280.356,-10.763,186.103,1262.055,-7.799,314.515,1261.659,27.727
