Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,259.362,1301.964,66.301,189.099,1257.953,50.631,192.565,1291.643,26.962,188.602,1274.37,37.059,311.188,1275.36,39.645
0.005,259.362,1301.964,66.301,189.099,1257.953,50.631,192.565,1291.643,26.962,188.602,1274.37,37.059,311.188,1275.36,39.645
0.01,259.254,1301.937,66.498,188.873,1257.884,50.736,192.519,1291.605,27.065,188.509,1274.357,37.216,310.914,1275.381,39.208
0.015,259.467,1301.907,66.401,188.998,1257.887,50.758,192.702,1291.653,26.895,188.522,1274.349,37.237,310.976,1275.416,39.45
0.02,259.036,1301.968,66.286,188.736,1257.849,51,192.522,1291.607,27.08,188.324,1274.305,37.38,311.109,1275.422,39.671
0.025,259.671,1301.849,66.668,188.801,1257.888,50.901,192.383,1291.572,27.226,188.292,1274.287,37.517,311.025,1275.426,39.474
0.03,259.625,1301.887,66.678,188.836,1257.867,50.93,192.714,1291.676,26.894,188.883,1274.415,36.94,310.872,1275.466,39.203
0.035,259.453,1301.949,66.529,188.893,1257.922,50.78,192.599,1291.67,27.035,188.339,1274.271,37.384,311.047,1275.402,39.416
0.04,259.55,1301.909,66.619,188.721,1257.862,51.044,192.574,1291.652,27.083,188.355,1274.304,37.439,310.881,1275.51,39.22
0.045,259.053,1301.905,66.487,188.845,1257.85,50.882,192.368,1291.576,27.21,188.657,1274.383,37.204,311,1275.426,39.527
0.05,259.228,1301.969,66.638,188.749,1257.883,51.002,192.563,1291.671,27.053,188.464,1274.311,37.311,310.743,1275.515,38.933
0.055,259.516,1301.947,66.604,188.995,1257.938,50.708,192.59,1291.669,26.995,188.193,1274.314,37.563,311.106,1275.437,39.53
0.06,259.514,1301.943,66.401,188.561,1257.908,51.132,192.465,1291.68,27.144,188.208,1274.29,37.496,311.356,1275.378,39.967
0.065,259.366,1301.898,66.524,188.811,1257.892,50.893,192.703,1291.744,26.857,188.182,1274.313,37.586,311.017,1275.508,39.432
0.07,259.376,1301.937,66.983,188.66,1257.927,51.042,192.64,1291.718,26.979,188.301,1274.288,37.431,311.065,1275.45,39.545
0.075,259.387,1301.972,66.269,188.829,1257.913,50.956,192.49,1291.657,27.101,188.43,1274.351,37.297,311.509,1275.376,40.068
0.08,259.679,1302.025,66.504,188.982,1257.991,50.723,192.644,1291.692,26.922,188.535,1274.448,37.105,311.133,1275.404,39.529
0.085,259.226,1301.85,66.855,188.818,1257.948,50.8,192.49,1291.695,27.104,188.331,1274.349,37.407,311.375,1275.312,39.935
0.09,259.493,1301.904,66.702,189.014,1257.939,50.711,192.567,1291.67,27.056,188.577,1274.385,37.141,311.041,1275.487,39.462
0.095,259.206,1301.891,66.768,188.627,1257.924,51.031,192.592,1291.717,27.002,188.26,1274.369,37.486,311.016,1275.435,39.38
0.1,259.449,1301.892,66.656,188.621,1257.891,51.051,192.576,1291.719,27.058,188.47,1274.414,37.265,311.197,1275.41,39.691
0.105,259.316,1302.028,66.059,188.949,1257.958,50.72,192.646,1291.723,26.914,188.746,1274.435,37.029,311.241,1275.394,39.671
0.11,259.304,1302.073,66.447,188.616,1257.892,51.108,192.603,1291.701,27.012,188.4,1274.403,37.31,311.067,1275.445,39.437
0.115,259.424,1301.884,66.929,188.858,1257.963,50.836,192.617,1291.718,27.014,188.283,1274.301,37.469,311.398,1275.365,40.152
0.12,259.221,1301.974,66.601,188.861,1257.944,50.9,192.486,1291.667,27.127,188.525,1274.398,37.228,310.906,1275.492,39.402
0.125,259.387,1302.001,66.608,188.63,1257.891,51.077,192.58,1291.731,27.051,188.141,1274.381,37.532,311.045,1275.466,39.461
0.13,259.43,1301.965,66.735,188.705,1257.897,50.979,192.567,1291.72,27.07,188.274,1274.346,37.485,311.392,1275.328,40.035
0.135,259.042,1302.05,66.265,188.811,1257.912,50.89,192.446,1291.676,27.151,188.456,1274.4,37.282,311.415,1275.368,39.955
