Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,280.445,1278.996,73.926,215.278,1235.559,46.776,226.893,1272.458,42.998,222.491,1255.186,57.017,344.55,1258.378,34.937
0.005,280.445,1278.996,73.926,215.278,1235.559,46.776,226.893,1272.458,42.998,222.491,1255.186,57.017,344.55,1258.378,34.937
0.01,280.454,1279.018,73.81,215.219,1235.603,46.83,227.086,1272.502,42.862,222.477,1255.233,56.983,344.482,1258.407,34.935
0.015,280.522,1278.995,73.83,215.283,1235.624,46.719,227.062,1272.487,42.791,222.599,1255.262,56.814,344.202,1258.541,34.606
0.02,280.153,1279.038,73.615,215.24,1235.57,46.76,226.949,1272.49,42.944,222.431,1255.236,57.09,344.523,1258.511,35.193
0.025,280.471,1279.096,73.595,215.321,1235.615,46.705,227.214,1272.541,42.693,222.681,1255.271,56.703,344.145,1258.622,34.581
0.03,280.487,1278.95,74.215,215.301,1235.604,46.773,227.122,1272.53,42.793,222.627,1255.212,56.846,344.133,1258.569,34.489
0.035,280.565,1279.089,73.556,215.178,1235.583,46.859,226.743,1272.44,43.126,222.536,1255.231,56.929,343.99,1258.589,34.243
0.04,280.527,1279.037,73.613,215.365,1235.619,46.666,227.047,1272.523,42.9,222.692,1255.276,56.77,343.95,1258.693,34.075
0.045,280.609,1279.02,73.84,215.208,1235.588,46.882,226.89,1272.46,43.023,222.507,1255.28,56.917,343.726,1258.718,33.959
0.05,280.746,1279.001,74.193,215.3,1235.609,46.761,227.018,1272.504,42.879,222.301,1255.211,57.145,344.036,1258.679,34.41
0.055,280.416,1279.107,73.569,215.182,1235.587,46.874,227.039,1272.51,42.893,222.687,1255.248,56.858,344.169,1258.639,34.568
0.06,280.201,1279.117,73.38,215.262,1235.605,46.799,226.883,1272.496,43.018,222.587,1255.292,56.969,343.891,1258.679,34.151
0.065,280.374,1279.016,74.08,215.422,1235.645,46.702,227.031,1272.529,42.869,222.273,1255.222,57.21,343.58,1258.79,33.778
0.07,280.345,1279.075,73.679,215.238,1235.592,46.842,226.901,1272.516,43.005,222.534,1255.293,56.856,344.133,1258.613,34.499
0.075,280.501,1279.14,73.562,215.288,1235.622,46.859,227.279,1272.58,42.678,222.883,1255.329,56.59,344.021,1258.644,34.476
0.08,280.475,1279.064,74.003,215.096,1235.62,47.02,227.028,1272.547,42.919,222.503,1255.242,56.929,343.74,1258.791,33.967
0.085,280.079,1279.14,73.522,215.245,1235.642,46.805,226.874,1272.51,43.06,222.365,1255.275,57.124,343.677,1258.763,34.177
0.09,280.341,1279.114,73.757,215.098,1235.619,46.971,226.798,1272.48,43.107,222.487,1255.259,56.963,344.151,1258.703,34.754
0.095,280.308,1279.115,73.775,215.122,1235.655,46.9,226.92,1272.562,42.941,222.559,1255.3,56.922,343.563,1258.779,33.892
0.1,280.375,1279.061,74.1,215.482,1235.707,46.618,227.016,1272.563,42.863,222.821,1255.327,56.667,343.521,1258.831,33.908
0.105,280.492,1279.153,73.826,215.383,1235.692,46.671,226.981,1272.587,42.937,222.49,1255.274,57.022,343.453,1258.912,33.785
0.11,280.338,1279.204,73.718,215.343,1235.7,46.657,227.05,1272.572,42.941,222.394,1255.341,57.068,343.566,1258.819,34.092
0.115,280.375,1279.307,73.042,215.197,1235.674,46.857,227.167,1272.606,42.784,222.524,1255.335,56.925,343.109,1258.926,33.273
0.12,279.985,1279.201,73.614,215.303,1235.705,46.758,226.993,1272.631,42.908,222.621,1255.332,56.867,343.467,1258.936,33.996
0.125,280.388,1279.241,73.458,215.165,1235.644,46.872,226.913,1272.599,42.989,222.745,1255.36,56.695,343.764,1258.838,34.348
0.13,280.253,1279.116,73.792,215.297,1235.689,46.738,227.059,1272.592,42.827,222.565,1255.346,56.865,343.342,1258.952,33.594
0.135,280.468,1279.108,73.971,215.131,1235.661,46.948,226.927,1272.611,42.946,222.511,1255.378,57.029,343.455,1258.857,33.831
0.14,280.38,1279.146,73.974,215.279,1235.708,46.784,227.061,1272.599,42.808,223.094,1255.39,56.499,343.729,1258.871,34.108
0.145,280.365,1279.291,73.283,215.112,1235.713,46.981,226.895,1272.585,43.021,222.494,1255.34,56.99,343.555,1258.954,33.942
0.15,280.43,1279.198,74.055,215.2,1235.699,46.89,226.969,1272.63,42.924,222.556,1255.406,56.827,343.385,1258.977,33.811
0.155,280.352,1279.177,73.946,215.322,1235.705,46.768,226.924,1272.609,42.973,222.959,1255.394,56.543,343.4,1258.964,33.794
0.16,280.308,1279.171,73.724,215.238,1235.728,46.759,227.061,1272.633,42.896,222.589,1255.36,56.839,343.158,1259.002,33.459
0.165,280.454,1279.266,73.688,215.28,1235.734,46.764,226.966,1272.642,42.903,222.375,1255.375,57.015,342.738,1259.097,32.812
0.17,280.685,1279.132,74.21,215.193,1235.725,46.884,227.029,1272.656,42.898,222.685,1255.406,56.75,343.386,1258.949,33.639
0.175,280.298,1279.215,73.765,215.223,1235.739,46.899,227.005,1272.638,42.906,222.471,1255.316,56.998,343.523,1258.9,33.949
0.18,280.293,1279.229,73.574,215.24,1235.752,46.869,227.044,1272.66,42.898,222.538,1255.386,56.997,343.124,1259.037,33.422
0.185,280.508,1279.213,73.878,215.275,1235.744,46.778,227.117,1272.703,42.825,222.395,1255.382,57.12,342.79,1259.079,32.996
0.19,280.107,1279.285,73.583,215.212,1235.741,46.835,227.048,1272.639,42.845,222.434,1255.396,57.055,343.425,1259.009,33.86
0.195,280.276,1279.249,73.853,215.067,1235.745,46.971,226.878,1272.668,43.003,222.411,1255.362,57.114,342.914,1259.052,33.143
0.2,280.417,1279.213,73.916,215.314,1235.774,46.734,227.136,1272.7,42.797,222.859,1255.453,56.59,343.054,1259.008,33.351
0.205,280.479,1279.235,74.039,215.4,1235.786,46.653,226.918,1272.651,42.982,222.584,1255.403,56.917,343.09,1259.127,33.413
0.21,280.152,1279.459,73.069,214.968,1235.733,47.025,226.991,1272.685,42.912,222.552,1255.375,56.951,343.03,1259.079,33.437
0.215,280.298,1279.251,73.626,215.057,1235.768,47.03,227.147,1272.694,42.781,222.733,1255.438,56.722,342.856,1259.163,33.095
0.22,280.526,1279.283,73.715,215.048,1235.756,46.996,226.928,1272.679,42.949,222.572,1255.419,56.951,343.087,1259.106,33.49
0.225,280.472,1279.355,73.328,215.369,1235.796,46.645,226.753,1272.631,43.15,222.736,1255.452,56.748,343.125,1259.111,33.591
0.23,280.283,1279.292,73.434,214.997,1235.771,47.032,226.864,1272.667,43.048,222.612,1255.423,56.905,343.198,1259.036,33.49
0.235,280.515,1279.275,73.837,215.116,1235.789,46.959,227.015,1272.729,42.892,222.563,1255.426,57.009,343.082,1259.052,33.322
0.24,280.606,1279.296,73.707,215.201,1235.78,46.92,226.93,1272.673,43.081,222.641,1255.469,56.981,343.333,1259.052,33.783
