Time,Marker 09.X,Marker 09.Y,Marker 09.Z,Marker 12.X,Marker 12.Y,Marker 12.Z,Marker 10.X,Marker 10.Y,Marker 10.Z,Marker 11.X,Marker 11.Y,Marker 11.Z,Marker 05.X,Marker 05.Y,Marker 05.Z
0,253.22,1288.591,92.546,188.759,1244.551,76.676,200.058,1288.2,66.73,193.673,1261.871,79.422,315.372,1267.14,52.237
0.005,253.22,1288.591,92.546,188.759,1244.551,76.676,200.058,1288.2,66.73,193.673,1261.871,79.422,315.372,1267.14,52.237
0.01,253.131,1288.547,92.586,189.013,1244.516,76.389,200.121,1288.249,66.666,193.625,1261.886,79.305,314.864,1267.275,51.429
0.015,253.193,1288.552,92.954,188.96,1244.542,76.548,200.109,1288.22,66.625,193.544,1261.859,79.451,315.379,1267.132,52.064
0.02,252.818,1288.651,92.332,188.814,1244.488,76.815,200.228,1288.245,66.531,193.823,1261.912,79.192,315.093,1267.212,51.809
0.025,253.071,1288.64,92.391,188.722,1244.489,76.848,200.206,1288.231,66.579,193.625,1261.883,79.423,315.332,1267.204,52.108
0.03,253.405,1288.612,92.726,188.631,1244.466,76.929,200.295,1288.266,66.459,193.686,1261.889,79.277,314.967,1267.271,51.786
0.035,252.918,1288.696,92.469,188.574,1244.463,77.018,200.146,1288.249,66.647,193.6,1261.879,79.442,315.03,1267.213,51.882
0.04,253.073,1288.581,92.56,189.053,1244.567,76.528,200.143,1288.259,66.588,193.656,1261.888,79.327,314.957,1267.234,51.563
0.045,253.01,1288.698,92.424,188.946,1244.586,76.503,200.103,1288.263,66.555,193.762,1261.943,79.193,314.937,1267.225,51.585
0.05,253.155,1288.534,92.785,188.931,1244.563,76.581,200.2,1288.281,66.563,193.537,1261.865,79.452,315.05,1267.3,51.812
0.055,252.904,1288.633,92.498,188.911,1244.522,76.659,199.924,1288.199,66.907,193.557,1261.914,79.379,314.745,1267.217,51.449
0.06,253.306,1288.547,92.993,188.871,1244.577,76.635,200.091,1288.255,66.677,193.53,1261.894,79.434,315.128,1267.235,51.81
0.065,252.981,1288.634,92.418,188.972,1244.6,76.463,200.021,1288.188,66.828,193.692,1261.906,79.305,315.05,1267.314,51.845
0.07,253.234,1288.628,92.753,188.71,1244.518,76.926,200.168,1288.283,66.625,193.428,1261.869,79.523,315.403,1267.141,52.249
0.075,253.121,1288.641,92.471,188.803,1244.543,76.656,200.232,1288.29,66.55,193.621,1261.92,79.347,314.743,1267.243,51.475
0.08,252.823,1288.661,92.435,188.679,1244.489,76.842,200.16,1288.287,66.602,193.255,1261.811,79.768,315.564,1267.204,52.592
0.085,252.995,1288.602,92.581,188.973,1244.555,76.553,200.003,1288.222,66.788,193.617,1261.884,79.353,314.734,1267.294,51.262
0.09,253.26,1288.615,92.807,188.96,1244.593,76.508,199.996,1288.25,66.724,193.514,1261.899,79.458,315.067,1267.228,51.96
0.095,253.426,1288.592,92.42,189.083,1244.595,76.374,200.31,1288.282,66.432,193.681,1261.914,79.299,314.852,1267.305,51.629
0.1,252.693,1288.636,92.521,188.895,1244.579,76.626,200.118,1288.303,66.579,193.486,1261.865,79.471,314.995,1267.275,51.746
0.105,253.322,1288.615,92.928,188.983,1244.595,76.502,200.024,1288.229,66.744,193.556,1261.928,79.369,315.361,1267.192,52.409
0.11,252.975,1288.658,92.543,188.855,1244.584,76.527,199.994,1288.213,66.835,193.455,1261.863,79.655,314.85,1267.318,51.653
0.115,253.114,1288.68,92.51,188.552,1244.463,77.032,200.137,1288.277,66.673,193.484,1261.852,79.532,315.005,1267.302,51.845
0.12,252.894,1288.717,92.415,189.122,1244.558,76.425,199.903,1288.209,66.854,193.633,1261.902,79.422,315.077,1267.301,52.076
0.125,253.063,1288.677,92.665,189.014,1244.589,76.469,200.057,1288.245,66.672,193.598,1261.927,79.357,315.423,1267.232,52.582
0.13,253.585,1288.656,92.635,189.041,1244.579,76.522,200.189,1288.287,66.5,193.492,1261.89,79.522,314.793,1267.369,51.556
0.135,253.102,1288.678,92.67,188.793,1244.528,76.844,199.977,1288.259,66.778,193.461,1261.883,79.684,315.244,1267.278,52.117
0.14,253.286,1288.609,92.883,189.304,1244.631,76.086,200.081,1288.244,66.696,193.744,1261.938,79.253,315.04,1267.309,52.035
0.145,252.583,1288.641,92.952,188.911,1244.572,76.508,199.968,1288.309,66.806,193.524,1261.94,79.562,315.106,1267.284,52.095
0.15,253.339,1288.695,92.688,189.009,1244.57,76.565,200.131,1288.291,66.627,193.645,1261.941,79.317,314.493,1267.484,51.303
0.155,252.85,1288.637,92.753,188.926,1244.607,76.487,199.838,1288.219,66.934,193.633,1261.929,79.325,314.99,1267.385,51.765
0.16,253.279,1288.654,92.668,188.707,1244.565,76.718,199.951,1288.271,66.835,193.655,1261.968,79.332,314.865,1267.408,51.622
0.165,252.959,1288.724,92.571,188.965,1244.616,76.486,200.079,1288.297,66.659,193.513,1261.881,79.563,315.065,1267.387,52.071
0.17,252.989,1288.602,92.753,188.888,1244.54,76.784,200.041,1288.29,66.714,193.398,1261.873,79.68,315.574,1267.204,52.697
0.175,253.149,1288.697,92.741,188.901,1244.61,76.6,200.063,1288.289,66.781,193.428,1261.893,79.625,314.952,1267.421,51.752
0.18,253.25,1288.71,92.857,188.62,1244.546,76.971,200.091,1288.269,66.701,193.678,1261.985,79.265,315.273,1267.388,52.329
0.185,253.027,1288.674,92.548,188.948,1244.554,76.716,199.924,1288.266,66.867,193.747,1261.989,79.248,314.72,1267.453,51.534
0.19,253.116,1288.701,92.635,188.819,1244.585,76.607,199.934,1288.286,66.906,193.364,1261.865,79.749,315.516,1267.253,52.615
0.195,253.157,1288.68,92.684,189.165,1244.653,76.242,200.055,1288.271,66.801,193.687,1261.982,79.359,314.715,1267.518,51.514
0.2,252.87,1288.746,92.365,188.514,1244.524,77.013,199.909,1288.255,66.84,193.466,1261.92,79.529,315.494,1267.345,52.64
0.205,253.253,1288.738,92.515,188.832,1244.577,76.687,199.94,1288.259,66.931,193.685,1261.988,79.345,315.168,1267.385,52.11
0.21,252.836,1288.771,92.411,189.014,1244.622,76.532,200.021,1288.328,66.796,193.58,1261.944,79.523,315.347,1267.431,52.482
0.215,253.289,1288.684,92.811,189.175,1244.66,76.192,200.183,1288.327,66.559,193.479,1261.916,79.563,315.175,1267.406,52.05
0.22,252.811,1288.742,92.822,188.958,1244.62,76.564,199.875,1288.277,66.918,193.44,1261.897,79.642,314.816,1267.429,51.75
0.225,252.959,1288.66,92.866,188.383,1244.479,77.238,200.03,1288.321,66.7,193.559,1261.947,79.542,315.07,1267.463,52.067
0.23,252.987,1288.693,92.496,188.756,1244.554,76.766,200.149,1288.34,66.536,193.674,1261.974,79.303,315.095,1267.401,52.091
0.235,253.205,1288.66,92.906,188.712,1244.561,76.82,200.065,1288.306,66.706,193.563,1261.966,79.474,315.415,1267.42,52.472
0.24,252.902,1288.728,92.467,188.86,1244.636,76.573,199.963,1288.298,66.782,193.583,1261.945,79.372,315.078,1267.473,52.072
0.245,253.061,1288.737,92.62,188.77,1244.609,76.636,199.896,1288.325,66.905,193.392,1261.971,79.637,315.284,1267.384,52.312
0.25,253.024,1288.716,92.713,188.94,1244.621,76.538,200.213,1288.396,66.452,193.694,1261.987,79.339,314.954,1267.541,51.814
0.255,252.642,1288.81,92.405,188.714,1244.517,76.906,199.811,1288.285,67.041,193.468,1261.942,79.593,315.337,1267.409,52.474
0.26,253.297,1288.7,92.911,188.534,1244.568,77.09,200.195,1288.345,66.558,193.54,1261.947,79.528,315.41,1267.37,52.4
0.265,253.013,1288.797,92.536,189.002,1244.662,76.554,199.818,1288.273,66.967,193.609,1262.002,79.413,315.302,1267.45,52.309
0.27,252.981,1288.638,92.986,188.644,1244.507,76.984,200.03,1288.306,66.762,193.555,1261.957,79.483,315.283,1267.497,52.443
0.275,252.762,1288.785,92.215,188.901,1244.635,76.649,199.765,1288.312,67.007,193.521,1261.972,79.516,315.444,1267.416,52.439
0.28,253.112,1288.753,92.658,188.937,1244.631,76.591,200.027,1288.348,66.784,193.513,1261.948,79.498,315.606,1267.406,52.752
0.285,252.952,1288.804,92.544,188.729,1244.539,76.771,199.971,1288.326,66.842,193.598,1261.974,79.397,314.969,1267.531,52.103
0.29,253.108,1288.797,92.677,188.741,1244.587,76.862,200.031,1288.361,66.72,193.497,1261.976,79.555,315.559,1267.431,52.572
0.295,253.19,1288.7,93.115,189.047,1244.662,76.384,200.032,1288.327,66.733,193.725,1262.005,79.292,315.395,1267.45,52.511
0.3,252.969,1288.704,92.957,188.581,1244.58,77.024,199.917,1288.366,66.866,193.423,1261.942,79.606,315.688,1267.415,52.946
0.305,253.451,1288.813,92.64,189.029,1244.643,76.471,200.109,1288.368,66.621,193.597,1262.001,79.413,315.086,1267.525,52.052
0.31,252.914,1288.835,92.533,188.509,1244.541,77.021,199.952,1288.39,66.839,193.7,1262.029,79.289,315.607,1267.438,52.646
0.315,253.167,1288.781,92.509,188.744,1244.602,76.803,200.095,1288.376,66.629,193.628,1261.999,79.396,315.169,1267.566,52.18
0.32,252.716,1288.75,92.811,188.911,1244.645,76.456,200.025,1288.351,66.721,193.362,1261.932,79.676,315.153,1267.541,52.083
0.325,253.336,1288.748,92.973,188.84,1244.564,76.704,200.258,1288.47,66.409,193.599,1261.975,79.512,315.701,1267.429,52.988
0.33,252.813,1288.726,92.575,188.99,1244.656,76.542,199.995,1288.358,66.77,193.514,1261.979,79.556,315.355,1267.521,52.426
0.335,253.571,1288.719,93.202,188.919,1244.604,76.618,200.006,1288.34,66.819,193.318,1261.935,79.706,315.275,1267.459,52.335
